"NOMBRE DE LA SERIE",DF_MESNAA20F1U62240Z01E,DF_MESNAA20I1U62240Z01E,DF_MESNAA20J1U62240Z01E,DF_MESNAA20F1U62251Z01E,DF_MESNAA20I1U62251Z01E,DF_MESNAA20J1U62251Z01E,DF_MESNAA22A1U62250Z01E,DF_MESNAA21A1U62250Z01E,DF_MESNAA23A1U62250Z01E,DF_MESNAA23A1U62253Z01E,DF_MESNAA20A1U62252Z01E
"NOV 2019",94890,111787,232276,35385,47457,614986,512613,94566,90648,41041,5477
"DIC 2019",96202,109405,229477,31728,47001,609699,510868,94278,83281,40580,5507
"ENE 2020",100422,105735,226670,31502,46912,608916,509683,94639,83009,40429,5484
"FEB 2020",100857,104107,223645,30857,47111,609234,509651,94721,82830,40338,5460
"MAR 2020",107936,108745,227025,30247,46462,607930,508253,93370,83016,40384,5476
"ABR 2020",100506,133640,226887,28746,46529,606346,506932,89287,85401,41480,5613
"MAY 2020",92648,154489,228399,29012,46657,606351,506417,88663,86940,42479,5555
"JUN 2020",84104,160260,231275,38367,46665,605189,505465,92115,92640,43058,5714
"JUL 2020",79193,167143,227926,30056,47335,605287,505347,91766,85564,43178,5823
"AGO 2020",76604,167914,226410,29756,47183,604539,504859,91211,85408,43065,5903
"SEP 2020",77532,168894,225094,29647,46781,603372,504383,90762,84656,42408,5823
"OCT 2020",77587,168685,225316,29584,46595,604173,504712,91105,84536,42061,5859
"NOV 2020",76697,169578,226010,38254,46659,603897,504521,92663,91625,42497,5781
"DIC 2020",77503,169017,224390,30671,46358,603122,504215,91797,84139,42303,5709
"ENE 2021",77363,168053,222281,29435,45955,602690,503875,90582,83623,41955,5706
"FEB 2021",76690,167583,223259,28695,45658,602924,504153,89881,83243,41677,5623
"MAR 2021",78707,163794,229065,29394,45067,603936,504710,90524,83162,41573,5624
"ABR 2021",76420,151606,240456,29467,44329,605130,505176,90463,83287,41345,5577
"MAY 2021",74207,133919,256530,29874,43223,607205,505894,90993,83415,41460,5542
"JUN 2021",74857,132894,260638,38880,43030,608551,507287,93009,90166,41321,5496
